date,set,type,name,market_price,low_price,high_price,source_url
2026-06-25,White Flare Case,ETB,White Flare Elite Trainer Box Case,1044.05,1430.0,1449.49,https://www.pokeinsight.com/sealed-products/white-flare-elite-trainer-box-case
2026-06-25,Surging Sparks Pokemon Center Exclusive Case,ETB,Surging Sparks Pokemon Center Elite Trainer Box (Exclusive) Case,1027.05,1189.99,5000.0,https://www.pokeinsight.com/sealed-products/surging-sparks-pokemon-center-elite-trainer-box-exclusive-case
2026-06-25,Evolving Skies Pokemon Center Jolteon Flareon Umbreon Leafeon Exclusive,ETB,Evolving Skies Pokemon Center Elite Trainer Box [Jolteon/Flareon/Umbreon/Leafeon] (Exclusive),919.14,1000.0,2500.0,https://www.pokeinsight.com/sealed-products/evolving-skies-pokemon-center-elite-trainer-box-jolteon-flareon-umbreon-leafeon-exclusive
2026-06-25,Pokemon Go Case,ETB,Pokemon GO Elite Trainer Box Case,889.8,1289.99,2150.0,https://www.pokeinsight.com/sealed-products/pokemon-go-elite-trainer-box-case
2026-06-25,Surging Sparks Case,ETB,Surging Sparks Elite Trainer Box Case,876.62,1129.97,1399.95,https://www.pokeinsight.com/sealed-products/surging-sparks-elite-trainer-box-case
2026-06-25,Journey Together Case,ETB,Journey Together Elite Trainer Box Case,876.0,1150.0,1942.5,https://www.pokeinsight.com/sealed-products/journey-together-elite-trainer-box-case
2026-06-25,Stellar Crown Case,ETB,Stellar Crown Elite Trainer Box Case,874.99,1399.98,1900.0,https://www.pokeinsight.com/sealed-products/stellar-crown-elite-trainer-box-case
2026-06-25,Mega Evolution Case,ETB,Mega Evolution Elite Trainer Box Case,855.32,1097.0,9876.54,https://www.pokeinsight.com/sealed-products/mega-evolution-elite-trainer-box-case
2026-06-25,Evolving Skies Pokemon Center Glaceon Vaporeon Sylveon Espeon Exclusive,ETB,Evolving Skies Pokemon Center Elite Trainer Box [Glaceon/Vaporeon/Sylveon/Espeon] (Exclusive),848.7,937.01,1500.0,https://www.pokeinsight.com/sealed-products/evolving-skies-pokemon-center-elite-trainer-box-glaceon-vaporeon-sylveon-espeon-exclusive
2026-06-25,Stellar Crown Pokemon Center Exclusive Case,ETB,Stellar Crown Pokemon Center Elite Trainer Box (Exclusive) Case,848.24,999.99,4000.0,https://www.pokeinsight.com/sealed-products/stellar-crown-pokemon-center-elite-trainer-box-exclusive-case
2026-06-25,Evolving Skies Set Of 2,ETB,Evolving Skies Elite Trainer Box [Set of 2],829.82,1100.0,3499.98,https://www.pokeinsight.com/sealed-products/evolving-skies-elite-trainer-box-set-of-2
2026-06-25,Pokemon Go Pokemon Center Plus Case Exclusive,ETB,Pokemon Go Pokemon Center Elite Trainer Box Plus Case (Exclusive),824.99,1249.95,1349.97,https://www.pokeinsight.com/sealed-products/pokemon-go-pokemon-center-elite-trainer-box-plus-case-exclusive
2026-06-25,Shrouded Fable Case,ETB,Shrouded Fable Elite Trainer Box Case,823.18,968.0,4499.99,https://www.pokeinsight.com/sealed-products/shrouded-fable-elite-trainer-box-case
2026-06-25,Costco Pokemon Collector 3 Pack Scarlet Violet 151 Etb Paldea Legends,ETB,Costco Pokemon Collector 3-Pack: Scarlet & Violet 151 ETB + Paldea Legends Tins,709.19,1039.99,1750.0,https://www.pokeinsight.com/sealed-products/costco-pokemon-collector-3-pack-scarlet-violet-151-etb-paldea-legends-tins
2026-06-25,Twilight Masquerade Case,ETB,Twilight Masquerade Elite Trainer Box Case,705.51,1016.67,1499.99,https://www.pokeinsight.com/sealed-products/twilight-masquerade-elite-trainer-box-case
2026-06-25,Lost Thunder,ETB,Lost Thunder Elite Trainer Box,674.75,790.99,799.99,https://www.pokeinsight.com/sealed-products/lost-thunder-elite-trainer-box
2026-06-25,Twilight Masquerade Pokemon Center Exclusive Case,ETB,Twilight Masquerade Pokemon Center Elite Trainer Box (Exclusive) Case,672.22,900.0,1999.99,https://www.pokeinsight.com/sealed-products/twilight-masquerade-pokemon-center-elite-trainer-box-exclusive-case
2026-06-25,Obsidian Flames Pokemon Center Exclusive,ETB,Obsidian Flames Pokemon Center Elite Trainer Box (Exclusive),646.61,679.99,1500.0,https://www.pokeinsight.com/sealed-products/obsidian-flames-pokemon-center-elite-trainer-box-exclusive
2026-06-25,151,ETB,151 Elite Trainer Box,640.07,580.0,3000.0,https://www.pokeinsight.com/sealed-products/151-elite-trainer-box
2026-06-25,Paldean Fates Pokemon Center Exclusive,ETB,Paldean Fates Pokemon Center Elite Trainer Box (Exclusive),621.99,599.0,10000.0,https://www.pokeinsight.com/sealed-products/paldean-fates-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Shrouded Fable Pokemon Center Exclusive Case,ETB,Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive) Case,598.89,600.0,3000.0,https://www.pokeinsight.com/sealed-products/shrouded-fable-pokemon-center-elite-trainer-box-exclusive-case
2026-06-25,Prismatic Evolutions Pokemon Center Exclusive,ETB,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive),554.54,533.0,9999.0,https://www.pokeinsight.com/sealed-products/prismatic-evolutions-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Paldea Evolved Pokemon Center Exclusive,ETB,Paldea Evolved Pokemon Center Elite Trainer Box (Exclusive),534.38,699.99,10000.0,https://www.pokeinsight.com/sealed-products/paldea-evolved-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Celebrations Pokemon Center Exclusive,ETB,Celebrations Pokemon Center Elite Trainer Box (Exclusive),530.28,549.99,5000.0,https://www.pokeinsight.com/sealed-products/celebrations-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Destined Rivals Pokemon Center Exclusive,ETB,Destined Rivals Pokemon Center Elite Trainer Box (Exclusive),526.39,540.0,3999.0,https://www.pokeinsight.com/sealed-products/destined-rivals-pokemon-center-elite-trainer-box-exclusive
2026-06-25,Evolving Skies Flareon Jolteon Umbreon Leafeon,ETB,Evolving Skies Elite Trainer Box [Flareon/Jolteon/Umbreon/Leafeon],524.87,584.99,9999.99,https://www.pokeinsight.com/sealed-products/evolving-skies-elite-trainer-box-flareon-jolteon-umbreon-leafeon
2026-06-25,Crown Zenith Pokemon Center Plus,ETB,Crown Zenith Pokemon Center Elite Trainer Box Plus,522.05,549.99,2000.0,https://www.pokeinsight.com/sealed-products/crown-zenith-pokemon-center-elite-trainer-box-plus
2026-06-25,Hidden Fates,ETB,Hidden Fates Elite Trainer Box,518.04,545.0,9999.98,https://www.pokeinsight.com/sealed-products/hidden-fates-elite-trainer-box
2026-06-25,Evolving Skies Glaceon Vaporeon Sylveon Espeon,ETB,Evolving Skies Elite Trainer Box [Glaceon/Vaporeon/Sylveon/Espeon],501.67,499.03,9999.99,https://www.pokeinsight.com/sealed-products/evolving-skies-elite-trainer-box-glaceon-vaporeon-sylveon-espeon
2026-06-25,Costco Pokemon Evolving Skies And Tin,ETB,Costco Pokemon Evolving Skies Elite Trainer Box and Tin,499.99,549.99,600.0,https://www.pokeinsight.com/sealed-products/costco-pokemon-evolving-skies-elite-trainer-box-and-tin
